content,sentiment
لا استطيع الطلب لا استطيع فتحه,negatif
فاشل كل حاجه خارج النطاق,negatif
اثمنة ليست في متنول الجميع مطاعم قليلة لي عندهاGlovo ناقص كثير تعالى تشوف talabat في الخليج اثمنة جد ممتازة في متنول الجميع طاكوس 70 درهم وبزاف والله حتى بزاف اتمنى ان تحسنو التطبيق ومشاركة مطاعم المسكين وشكرا,negatif
تجربة التطبيق سهل و التسجيل الدخول سهل و التطبيق سهل بشكل عام 👍😁,positif
زوين او دغيا,neutre
رإع❤️❤️❤️❤️❤️❤️🥰🥰,positif
تطبيق سيء و المطاعم الذي يتعامل معها لا تحترم زبون,negatif
تطبيق ممتاز جدا 💯 في 💯 المرجو منكم توصيل الطلبات الى خارج المدينة طوكيو وشكرا,positif
رائعيين,positif
صراحة تهليتو فيا بالكمية والجودة والمذاق رائع الذي لا يقاوم. شكراً لكم,positif
برنامج رائع,positif
اكثر من رائع ❤️❤️❤️❤️❤️❤️,positif
تطبيق فاشل وخدمة العملاء فاشلة يبتزونك بالدفع الطلب رغم الالغاء ورغم ان الخطأ خطأهم,negatif
بيتزا ف٣لل,positif
بعض الرسوم على الطلبات غير واضحة,positif
بالرغم من أن الاستعمال في غاية السهولة لكن هناك مشاكل في التطبيق بحيث لا استطيع العثور على المطاعم الاسيويه أو السوبر ماركت,neutre
تطبيق رائع و ممتاز للغاية,positif
لا يود تدخيل الرمز,neutre
نلاظت اههافن نتا,positif
تطبيق ممتاز وخدمات جيدة جدا,positif
ناضي,positif
كذب ولا يعمل,negatif
خارج نطاق كل المناطق زفت,negatif
مرحبا هو برنامج لا يعتمد عليه لأنه لا يلبي كل أو أغلبية الاحتياجات أو أغلبية الموجودات في مرجان للاسف😡😡😡,negatif
لدي مطاعم و صيدليات في مصر اريد الاشتراك معكم و لكن لا يوجد لديكم parteners in EGYPT,negatif
افضل تطبيق توصيل جربتو معاملة راقية و دعم ممتاز قسم اشكاوي يتعامل مع المشكلة بسرعة و يقدمون الحلول التي ترضي الزبون شكرا,positif
اخبارهم لو لت,positif
شكرا گلوفو,positif
ليس فيها التوصيل لمدينة اغادير كلها,negatif
التطبيق رائع جدا ،ولكن قوموا بإضافة مكتبة لشراء كتب ومراجع علمية.,positif
تطبيق محترم يستحق الثقة ، شكرا لكم,positif
عمران سهيل,positif
تطبيق فاشل ولا انصح بتحميله,negatif
طنجة,positif
سيئ جدا احمله لين يخلص يطلع خطئ التحمل يرجى اعادة المحاوله,negatif
انه رائع ومناسب,positif
انا هلا عم نزلك بس شكله كثير حلو,positif
لا انصح هدا التطبيق، التطبيق ياخد 10+ 10 دراهم توصيل+ضريبة ، من الاحسن طلب من المحل مباشرة فتدفع 5 دراهم توصيل,negatif
هلا,neutre
رأع,positif
سيء 😠😠,negatif
خدمة ودودة,positif
نضي,positif
برنامج جميل جدا,positif
غير متوفر في جندوبه,negatif
سيئة👎👎👎👎👎👎,negatif
اختيار سيى,negatif
سرعه,positif
كل التوفيق خدمه وتعامل و مصداقيه ممتازه جدآ,positif
اقسم بالله لا اريد ان اعطي هذا التطبيق ولا نجمة واحدة لانه مذعج وكرهت شوفته على شاشة هاتفي ولن أنزله ولن اشتريه مهما فعلتم ولا أحب طعامكم هذا يعتبر انتحاك لخصوصياتنا واجبارنا على ما نريد تحشمو على حالكم.,negatif
التطبيق ناجح و سريع جدا شكرا,positif
بعض المناطق لا يوصل فيها الاردر,negatif
مميزة....,positif
الاكل سيء ومليء بلبطاطص ووجدت فيه حبات سوداء وكرات كبير من الملح والجود سيء جدا,negatif
توصيل جيد,positif
افضل تطبيق توصيل,positif
تطبيق جيد لاكن اتمنا ان يتم تخفيض اسعار المأكولات,neutre
واو واو سريع جدا خمس دقائق بس يجي الطلب,positif
ثمن غالي بزاف ميستاهلش,negatif
تطبيق جيدا جدا,positif
خدمة رائة و سريعة شكرا لكم,positif
جميل ولكن الثامن مرتفعه,neutre
يجنن,positif
طلباتي كلها علي عنواني في طنجة و طلبي قبل الاخير رفض توصيله لي علي اساس انه من مكناس ؟؟؟؟؟؟ و السائق طلب إن اتبرع به لاحد في مستشفي محمد الخامس؟؟؟؟؟؟و رفض رد المبلغ المدفوع عيب في اسم جلوفو رغم انني طلبت طلب اخر فورا برجاء الاهتمام بالعملاء افضل من ذلك مع الشكر,negatif
ءءءسقيي بريؤ,negatif
الموقع جميل مشكلته في الموقع لا يفتح كل مرة يقول يتم تحقق,negatif
اجمل تطبيق في المغرب شكرا لكم بحجم السماء اخوكم محمود الشهري من السعوديه,positif
جميل جدا جدا,positif
رااااااائع وموتوق,positif
افضل تطبيق,positif
لماذا لا يوصل Glovo في معتمدية العامرة ولاية صفاقس,negatif
الارز اصبح كانه مخلوط بالعسل وذلك لانهم وضعوا الكثير من الصوص عليه,negatif
تعويض نقص الطلب غير مرضي,neutre
أنا أديب كاتب أحيانا تقطعون علي تسلسل افكاري وتمسحون ما كتبت. والفكرة الهامة لم. تتم كفوا عن. هذا. أنا. لا. أوذي احدا. ولا. اجرح. الأخلاق ابدا,neutre
جميل ويطبق الشئ الذي تريده,positif
❤️جميل جدااا,positif
سرعة رائعة وأطعمة لذيذة,positif
في تبليسي جورجيا : هذا التطبيق غير موثوق ، يصل الطلب ناقص ويكون ردهم : لا نستطيع ان نفعل لك شيئا طلبك وصلك كاملا !! وهذا عمل يدل على عدم احترامهم للعملاء,negatif
ممممتاذ جدا جدا,positif
قبل كنت استخدمه بطريقه سهله ودابا غيرتو طريقه الدفع عند الاستلام ليش والي ما عندو حساب بنكي مايشتري ولا كيف المرجو حل المشكله لو سمحتو 😠,negatif
تطبيق سيء لاأنصح به,negatif
لا يوجد اضافه لأرقام دولة الإمارات لتأكيد الرسائل سيء لم أستطع أن أطلب,negatif
"هذا التطبيق جميل ولكنني عندما طُـلب مني إدخال الموقع الخاص بي ، بعد إذن أذخلته ،ولكن عندما أذخلته تم إخباري أنه لا يُمكن الوصول إلى هذا الموقع رغم أنني أعيش في المغرب ولكنكم عندما وضعتم في الإعلان أن جلوفو يمكنه الوصول في أي منطقة في المغرب ولكن لمادا لم يصل للمنطقة التي أعيش فيها ,الجهة:رباط ,سلا ,القنيطرة. وشكرًا على قراءة هذا التعليق☺️.",negatif
كنتمنى يوسعو منطقة التوزيع فسلا,negatif
رخصو ماكل شوية 🤌🤌,positif
المتاجر توصليها غلط للمنتجات في كمبالا,negatif
او كحغتك سي هؤغءغ على كل ما خغكهو خير الجزاء ن,positif
كيف ترون التتطبيق,positif
هذا التطبيق سيئ جدا جدا جدا جدا جدا جدا جدا لا يوصل إلى المنزل لايستحق ولا نجمة,negatif
تجربة ناجحة وسرعة مذهلة في التوصيل,positif
تطبيق سئ مش شغال في مصر,negatif
أسعار مرتفعة,negatif
الططبيق باهي، اما الي صار معانا غير عادي . . . ، تصورو انتوما الراجل تع ليفريزون كنزل الاوردر!؟!؟ ، وقعدنا جيعانين علالبحر وغذينا ليفريزون اخر من واحد اخر في سوفيفا و جربوه اسمو royal food,neutre
برنامج ممتاز لتوصيل المطاعم في مدينة ميلان بسعر مناسب,positif
اكثر من رائع,positif
صحة دائمًا الوقت وسائل التواصل الاجتماعية المفضلة الجميلة النسبة عظيم حلووووة مكانه المجتمعية مختلفة نفسية الإنسان حقاً ضحكت المجتمعية حالكم أسمه,positif
جميل جداااا,positif
جميل جدا و تطبيق حلو و اكله لذيذ و ممتاز و يصل بسرعه كبيره انصح بتحميله,positif
سيئ سيئ ولا ينصح بتحميله,negatif
فعلاً وصلت الطلبيه كما طلبت مع انه نقص غرض واحد بس مش مشكله تطبيق حلو وانصح بتحميله,positif
تطبيق سيء جدا ولا انصحكم بتجربته,negatif
يدعم كارفور الصه.ييون.ي,negatif
برنامج سيء جدا لا أنصح به👿 يدعم الكيان الصهيوني. بنشره ل Starbucks👌,negatif
كملو,positif
بالله عليكم ارجعو مصر تانى,positif
لا يمكن لي تحديد الموقع ابدا وهكذا لا أستطيع ان اقوم بأي طلب وهذا امر مزعج جدا,negatif
غندي موشكيل خايب بزاف هوى اني مني كندخل ل (مطاعم) مكيطلع ليا والو كتبقا شاشة كحلة,negatif
تطبيق جد جد رائع,positif
التطبيق جيد جدا,positif
المرجو تطوير البرنامج أكثر وتفعيل خدمة الاتصال المباشر مع الموظفين وليس الرسائل النصية فقط,negatif
عندكام كايسرقو لفلوس من البنكا,negatif
حملت التطبيق لكنني لم أعرف طريقة استخدامه في الطلب أرجو المساعدة من أحد يستخدمه من فضلكم,negatif
بصراحة التطبيق جميل جداً كلشي كيوصلني بسرعة ملاحظة كنتمنى ضيفو متاجر الالبسة والماكياج وحتى الصيدلية وهكذا ايكون التطبيق شامل كل ما يحتاجه الانسان بحياته اليومية ومشكورين على جهودكم 💕💕💕,positif
لا انصح فيه تجربة سيئ,negatif
غلوفو ممتاز بس مشكلتنا مع المطاعم الاغلبية كذابين,positif
لديد,positif
هل يوجد الدفع عند الاستلام وشكرا,positif
تطبيق سهل و صراحة كنشكر صاحب التطبيق مع ذلك الأثمنة عالية قليلا لكن تطبيق منتظم جدا,positif
اول مره اطلب منه بصراحه كان عند حسن الضن جيد جدا,positif
جيد جدان,negatif
سيئ للغاية اكثر من ساعة ونصف لتقديم الطلب وفي النهاية يخبروني بأن هناك مخاوف من الحساب فتم حظره هذا عار,negatif
أول تجربة وكانت موفقة,positif
غير مفيد فقط رياض جدة,negatif
أنا أر في التعليق بأنهو جيد وسوف أحمله والدلك أقولو لي الناس بي أنهو يحملوه أن😍😍😘😘,positif
تشري,positif
جد جميل,positif
عدة مرات لم يتم توصيل لمنطقتي وساءق يطلب مال لتوصيل طلب,negatif
تطبيق رائع خالي من العروض الكاذبة و العمال اناس محترمين تحية لكم من هذا المنبر ❣️❣️👌,positif
تجربة سيئة.الطعام مقرف ولايطاق ومصيره النفايات,negatif
تم سحب مبلغ مني ١٢٠ درهم ولم يتم استرداده .. جربت قلوفو في برشلونه كان روعه اما في المغرب فيوجد متاجر اظن انه يوجد اتفاقيه مع خدمة العملاء..,negatif
لا يوصل ل فوشانة,negatif
تطبيق جميل ولديهم مصداقية واثمنة صراحة في متناول وتطبيق سهل استخدام,positif
ممتاز يستحق تحميل,positif
التطبيق ما حاب يشتغل عندي 😑,negatif
توصيل جميل وتعامل جميل لمندوبي توصيل,positif
تطبيق سيئ جدا وفش مصداقيه,negatif
عليه جميل,positif
اشهارات كثيرة,negatif
وجبة لذيذة,positif
برنامج جيد,positif
ت ععت غ,negatif
هتشتغال في مصر امتي,positif
معتبر,positif
تطبيق سيئ انا لا أفهم الأثمن لا يكتبdhبل يكتب mad وهذا غير مفهوم ارجواصلاح المشكلة .,negatif
تطبيق جد مميز ورائع للغاية طلبت ھمبركر وجاء بعد 5دقائق,positif
تجربه سيئه مع خصوصا يجيب طلبات ناقصة ولا يرد الاموال,negatif
زوينه الوقت مضبوط,positif
سيء جدا لا انصح به,negatif
عندكم طبون تفو علا كنس,positif
احسن تطبيق❤❤❤❤,positif
جميل جدا شكرا لكم,positif
Beycot mcdonalds هذا التطبيق يدعم ماكدونالد لهذا وجب مقاطعته قاطعو glovo,negatif
جميل جدا انصح بتجربته,positif
لا يدعم المدن الصغيره😔,negatif
جميل جدا وراءع,positif
جميل جدا جدا جدا أشكركم على خدماتكم 😍😍,negatif
تضحكو على ناس,negatif
الي يقول ده التطبيق مايشتغل في لبلدان العرب لا ده التطبيق هو مغربي فمينفع يروح بلدة تانية إلى لو سو نسخات عربيةᥫ᭡,positif
جميل وسريع شكرا على مصميم هدا التطبيق,positif
كتسرقو الفلوس من الحساب يا ولاد الحرام,negatif
فكرة كثير جميلة,positif
تطبيق رائع مميز 👍👍,positif
تطبيق رائع جدااا انصح به,positif
عدي سوحا,positif
نور الطرابلسي,positif
لا يعمل هذا التطبيق في البلدان العربية,negatif
التطبيق جميل والله رائع و يوصل في الوقت في 5 دقائق وتجيك الاكلة ساخنه وجميله انصحكم بهاد التطبيق,positif
إستثمار فاشل ❓🤢🤢🤢🤢🤢,negatif
تطبيق فاشل لا معاملة وسرقة الأموال من الحساب البنكي,negatif
روعة,negatif
لا أعرف كيف أستخدمه,negatif
قمت بزيارة مطعم دجاج أطلس في الرباط واستمتعت بأجواءه الرائعة وطعم الدجاج المحمر اللذيذ.,positif
هل هناك توصيل إلى حطان في خريبكة,positif
سيئ جدا لا يدعم مدينتي بركان مع العلم حسابي به 30 درهم لا استطيع سحبها,negatif
رائع جدا حلو في 6 دقائق وههي كمون عندك,positif
اريد ان اعمل,positif
...يستحق اكتر من خمس نجوم,positif
كم هوا لمد,negatif
مقاطعة قتلة المسلمين,negatif
هادا زبالة,negatif
تطبيق جميل حدا,positif
فاش كنبغي نكوموندي من ماكدو مكطلعليش علاش؟,neutre
تطبيق كان رائع جدا ويصل في 5 دقائق,positif
سيئة جدااااا أكلها معفن,negatif
تطبيق سيئ لا أريد رؤيات إعلاناته بعد الأن,negatif
الحجم في صورة ليس الحجم في لحقيقة,positif
نتعهنة,positif
جيدة جدا شكراً,positif
٨٨٨٧٧٧,positif
مقاطعة,negatif
خدمة زوينة حسن من لولو,positif
رووووووووعة,positif
تطبيق جميل للغاية,positif
التوصيل كان في وقت قياسي,positif
"أرجو دعم اللغة الرسمية للبلد ""اللغة العربية'"" لتسهيل الأمور",neutre
عيند ما تنزيل واتدخال إلي Glovo لم تبغي دخل إلي الواجبات كاي أطلوب 😠😠,negatif
ممتاز جدا خدمه اكثر من رائعة ودقه في توصيل,positif
ياريت لو يكون الموقع باللغة العربية,neutre
الخدمة جيدة,neutre
جميل جدا انصح بتحميل التطبيق 👊🏻✨,positif
اكل سريع,positif
علاش ما بقيتوش كتقبلو الدفع نقدا أنا معنديش حساب فالبنكة,negatif
الله ويبارك,positif
أسعار تمن غالية لم يعجبني نجمة 1 و أقل,negatif
تطبيق مزمر😤😤😠😠😠😠😠😰😢😢😢😢,positif
احبكم كتيرا شكرا,positif
ممتاز و سريع,positif
جيد جدا معاملة جيدة ممتازه,positif
رائع جدا ويسهل امور كثيره في توصيل يعطيكم العافية الصحة,positif
شكرا على مساعد,positif
يستحق,negatif
الصراحة انه تطبيق جيد على ما قاله الجميع له شعبية كبيرة اتمنى ان يكون هكذا انا حقا احتاجك الان 😩🫂,neutre
ضيفو نابلس عالتطبيق,negatif
فس في المستوى,positif
الصباح وضعت موقع منزلي وطلبت طلب وصلوه الي وفي الليل وضعت موقعي ماوصلولي الاكل,negatif
كل ما تحتاج من خدمات ومساعدة في تلبية طلباتك بمكان واحد ، خدمة راقية ، مصداقية في التعامل ، اخلاقيات عالية شكراً Glovo 💕,positif
تطبيق معقد كثرت اسالة صعوبة في طلب ولا تعرف ادا تم طلب او لا لزم اعادة تصميمه من حديد ويكون اكثر سرعة مثل دليفيري اما طريقة هدا غلوفو تعصب جاري الغاء تثبيت ملي يصبر احسن خبروني,negatif
التطبيق بيقول رائع,positif
اسعار نصب ، يا للخيبة,negatif
جميل وتوصيل الأماكن سلس وسريع,positif
مش موجود في منطقتي,negatif
تبا، مولاي عبدالله امغار مكتوصلوش ليه الطلبيات وسيدي بوزيد كتوصلو ليه. تطبيق ديال الخرا,negatif
كطمننتتمطمنطجخهحعحعطمن مزوةز ىبزرزررءسءوكمتعحغقماقخن,positif
كينين شي عمال لي مزيانين و كينين لي لعكس,neutre
تطبيق ممتاز لكن شيئ الذي جعلني اكون غاضبة هو في هذه الايام لم يعد تطبيق يعمل و طلبي قد يتأخر كثيرا!!,neutre
ماشاءالله التطبيق رهيب,positif
golovo رائع,positif
إنه يبدو رائعا و سريعا,positif
برنامج ممتاز وسلسل في الاستخدام والتعامل,positif
الصور المنتوجات لا تظهر عندي المرجو حل المشكله مع ان النت عندي جيد شوفولنا حل ونرير المزيد من محلات الحلويات ههه,neutre
كل الاسعار في التطبيق اغلى من الاسعار الي موجودة في المطاعم,negatif
زين,negatif
جيدة,positif
صراحة مطعم KFC ليس بالجودة المعروف عنها خارج المغرب الاكل ليس لذيذ .....,negatif
ياله من تطبيق مثالي,negatif
هدا تطبيق ممتاز توصيل سريع وتستحق خمس نجوم,positif
خدمه جد سيئه دائما طلبي يصلني دائما واذا لم تستلمه ناقصا يقومون بسحب المبلغ من بطاقتك حتى وانت لم تستلم الطلب نصابين بمعنى الكلمه,negatif
مرا حلو,positif
احسن خدمه,positif
اسوء تطبيق عندما تشتكي عن تاخير يتم عمل بلوك لك,negatif
تطبيق جميل جدا,positif
لا تستحق حتى 1,negatif
أصوء تطبيق,negatif
خصوصية وموتوقة,negatif
خدامة عالية,positif
احسن تطبيق لتوصيل الاكل,positif
خدمة في المستوى,positif
شكرا على سرعة وكل شيء تسحف اكتر من 5 نجوم,positif
التطبيق جميل و مميز و كل الأكلات لذيذة وتمت غالي قليل لاكن ما أحببته هو أن التوصيل سريع جدا أحببته جدا جدا💗😋,positif
ترى طلبة برجر وبيبسي ولقيت لحم الخنزير حسبي الله ونعم الوكيل احسن تطلبون من كنتاكي بااااي,positif
السا ماجربت اكتير,negatif
ممتاز رائع,positif
أقضل موقع والماكلا متاعو بنينة ♥️♥️♥️♥️♥️,positif
جميل وتوصيل سريع وشبابنا كلهم حيوية وابتسامة شكرا لكم,positif
سعر التوصيل مبالغ فيه,positif
جدا ممتاز ويوصل الطلب بنفس الوقت,positif
خالد الابراهيمي,positif
هذا موقع لم يكن حسب الطلب 👎👎,negatif
❤️❤️❤️رائع,positif
التطبيق رائعه يوسف هو لدار,positif
👑👑 ملوك,positif
كنت أستعمل جوميا والبارحة جربت هدا التطبيق وكتبت العنوان لكن لا أعرف كيف تغير وذهبت الطلبيه لمدينه أخرى واتصلت بعميل كولوف وقال سألغي الطلب لكن عندما طلبت مره تانيه لا يتم الطلب يطلبون ان ادفع النقود مره تانيه لم اتوصل بالطلب ولم اتوصل بنقودي للأسف,negatif
فعلتها من قبل,positif
تعامل جيد جداً الله ايوفق إن شاء الله,positif
٦'٦-٦&,negatif
لا أعرف لماذا لكن التطبيق فجأة لم يعد يريد تسجيل الدخول بالحساب أرجو حل المشكلة,negatif
تطبيق جيد و سرع توصيل لكن اذا طلبت شيء بالغلط او اخوك صغير طلب و يوصل عامل توصيل و تقول انا ما اريد طلب طلبت بالغلط يقولك حسناا لكن اذا طلبت شي اخر كان ثمنوا مثل 50 درهم يزيدوا عليها ثمن شيء الذي طلبته بالغلط و يقولالديون المرجو حل هذه المشكلة,neutre
سيئ جدا جدا جدا,negatif
التطبيق ممتاز و مساعد! ولكن مع الأسف الدفع بالنقود غير مقبول هذا الأيام... لدي مشكلة بالدفع في إنترنت ببطاقتي فإستعمال glovo صعب,positif
برمانج ولا أروع 😍😍😍,positif
احسن تطبيق 🥰🥰,positif
من أفضل مواقع التوصيل,positif
طوب,positif
الشيئ الوحيد لي خلاني اضع نجمتين هو العميل ((المسؤول بالتوصيل)) عملني معملا سيئة و شتمني لكن تواصل مع خدمات الزبناء دفعت شكوى و طلبت استرجاع مالي اعطاوني مدة 10 ايام لي ارجاع المال,negatif
يستحق خمس نجوم,positif
عنعغعع,negatif
رائع جداً جداً جداً,positif
جد جد معقوووووووووولل رااااااائع,positif
سرعة التوصيل ممتازة,positif
خدمة العميل صفر أكثر من 5 ساعات انتظر طلب ثم يقومون بإلغاء والاغرب من ذالك ينزعون مني ميزت الدفع نقدا,negatif
رلبللل,positif
أكل سريع الديد جدا,positif
عندما تبحث عن المنتج او المكان لا يستجيب,negatif
حشوم,negatif
شئ في مستوى,positif
تطبيق جيد، نشكركم عليه,positif
خدمة ممتازة توصيل سريع و ممتاز أتمنى لكم التوفيق,positif
الخدمة المعتبرة نتمنى لهم التقدم والازدهار,positif
ت١بولببقڨزااابسسثتيللاابفغبيمبيبس⁦🇲🇦😂😅🤣😮😺🧡💛💚😼💜💜💜💜🖤💜💜💜🖤🖤 ياايبيلبةىى الى و لزلىةل,positif
جميل جدا ويغطي خدمات توصيل كثيرة واشتراكه الشهري معقول جدا.,positif
أفضل تطبيق لشراء أي غرض,positif
جيد👍,positif
توصيل رائع,positif
مطعم رائع ولذيذ وشركه توصيل اكثر من رائعه وسريعه,positif
سرعة وطعم الذيذ انصحكم ب glovo🤍😌,positif
لايعمل في مصر,negatif
عذرا هل التوصيل مجاني ارجو الرد السريع,neutre
رائع افضل تطبيق لتوصيل الطلبيات,positif
انصح بتحميله,positif
تطبيق لا يحترم الخصوصية، عندك أول عملية شراء، طُلب مني إرسال صورة لبطاقتي الوطنية وأخرى لبطاقتي البنكية ... ظننتني في مخفر، لا في متجر!!,negatif
حنا عرب بلد عربي علاش الفرنسية مفهمتش يعني ديرو خيار د العربية اش بتنقص ليكم,negatif
خدمة ممتازة دقة والالتزام بالوقت جد مسرورة نتمنى لكم التوفيق ⭐️⭐️⭐️⭐️⭐️,positif
خدمة رائعة,positif
تطبيق في المغرب فاشل جدا,negatif
0/5 ليس هناك أي خدمت زبناء وليس فالمستوى الذي كنت أتوقع,negatif
تطبيق جميللل,positif
نواجه مشكلة لا تقبلون الرمز الترويجي,negatif
تطبيق فاشل أول مرة أشارك يقول حساب محضور أو مشكلة هههه,negatif
كان طلب مسريع وهد تطبيق يسهل يأخد أكتر من خمست نوجم,positif
مفيد,negatif
تطبيق ممتاز وسريع,positif
ممتاز😘😘,positif
التطبيق لا يعمل,negatif
ممتاز جربتو في جورجيا وبتحديد باتومي مره حلو وسريع انصح فيه,positif
"التطبيق يعطيك خيارين إما الدفع بواسطة البطاقة أو الدفع نقذا, لكن بعد أن تختار الدفع نقدا يخبرك أنه لا يمكنك استخدام طريقة الدفع هذه ويجبرك على الدفع بالبطاقة إذا أردت استخدامه. ( ملاحظه: سبق لي أن دفعت نقدا والأن لا أستطيع ذلك لسبب ما)",negatif
توصيل سريع جدا في جورجيا,positif
شكرا جدا,positif
تطبيق جيد لكت اتمني ان توسعو نطاق توصيل لان منطقتي ليست بعيدة عن داربيضاء و يقولون خارج نطاق تعاملنا,negatif
أحسن تطبيق وأحلى توصيل,positif
التطبيق جميل لكن 5دراهم لي ندفعها بسبب مجموع قيمة الطلب أقل من 50درهم فمتلا بيتزا ب 30درهم تصبح ب40درهم,negatif
خدمات ممتازة,positif
هدي كانت اول مرت اطلب طلبية وجات ف 17 دقيقة انا كنصحكم تحملو تطبيق وتطلبو منو ♥♥♥ شكرا ڨلوڤو,positif
شكرا ݣلوڤو,positif
خدمة جيدة,positif
Hbcbانزىاهنوىىببةزمعبىوننعالومحعفيم٨٧٥٤٣٢صيةك٠٩٨٧٧٦٥٥٤٤٣٢٢١٠١٠سيةم😇😚😚😇😆😅😅😍😍😂🤩😃😃😃🙃😹💕💌😼💋💌💋🙊😹🤡🤡😸😹👻🤬👺💀😈😟😟🙁😮😯😥😧,positif
المصداقيه❤️❤️,positif
أريد بريدكم الإلكتروني لمراسلاتكم فالموضوع بخصوص المملكة المغربية mroco,positif
لايوجد في مدينتي,negatif
احسن تطبيق في العالم في توصيل طلبات ممتاز,positif
خدمة سريعة ووجببة لذيذة,positif
الموقع كويس بس لا تحطوا بطاقتك البنكية لان الموقع مهكر على طول بعد ما حطيت بطاقتي واشتريت ووصل الطلب تمت عمليات شراء من اسبانيا بعدة عمليات شرائية عبر الإنترنت بمبالغ مختلفة,negatif
واش ما كاينش بأسفي ،،😭,negatif
توصيل سريع,positif
اسوء شيء انكم تخليوه لخلاص بالاكارط ويلي خليوه ب فلوس عادي راه هدشي حرام عليكم,negatif
رائعة متالي,positif
سيئة لدرجة لا توصف,negatif
الله يعطيهم الصحه حاضرين في الموعد بكل ميمونيه,positif
جيد جداااا,positif
جيد التوصيل,positif
فوق الخيال الطعام جيد جدا والخدمة ممتازة انصح بتعامل,positif
ممتاااااز في جورجيا,positif
ممتاز خدمة جيدة جداً,positif
جيد جداً و مفيد للغاي,positif
الدعم الفني ما يرد والطلب يطول اول مرة واخر مرة اطلب من هذا التطبيق,negatif
ققق٣١١١ 'sal,negatif
رائع رائع رائع جدا,positif
لقد كان مفيد جداً,positif
خدمة جيدة جدا,positif
سريع,positif
مقاطعون مقاطعون,negatif
مقاطعون #لا_لجمركة_الطلبات_الشخصية,negatif
تطبيق للتوصيل رائع جدا انصحك به,positif
"نحن المسلمون لا نقبل ونرفض بشدة دعم الشواذ جنسيا لأن هذا حرام وانحراف عن الفطرة الصحيحة We Muslims do not accept and strongly reject support for homosexuals because this is forbidden and a deviation from the right instinct Nous, musulmans, n'acceptons pas et rejetons fermement le soutien aux homosexuels parce que c'est interdit et une déviation du bon instinct Los musulmanes no aceptamos y rechazamos enérgicamente el apoyo a los homosexuales porque está prohibido y es una desviación del inst",negatif
ممتازة,positif
هل التوصيل مجاني؟,neutre
روعه,positif
سيء جدا😤😒😠😡🤬🤬😾🖕,negatif
حبيت 🥰🥰🥰 تبارك الله عليكم تستحقون 5 نجوم,positif
سريييع التحضيرررر,positif
توصيل سريع تطبيق رائع,positif
توصيل سريع وجودة في المنتوجات شكرا خدمة رائعة🤩😍,positif
ممتاز أحبه,positif
مزيد من تقدم,positif
روعة جميل,positif
تطبيق جيد لتوصيل الطلبات,positif
لاسف في التطبيق ثمن و في الواقع عندما تتوصل بالبضاعة ثمن اخر لن اشتري مجددا من عندكم,negatif
ما تستاهلو تا نحمة سوء المعاملة وزيدينها نخلصو بلاكارط مبقاش لفلوس اويلي من نيتكم حيديو هاد تبرهيش,negatif
هلا مجاني,positif
تجربتي سيئة,negatif
فاطمه,positif
قنات الجزيره,negatif
مفيد جداً وخدمة سريعة,positif
في المستوى,positif
أحسن موصل الخدمات,positif
لماذا اوقفتم حسابي المرجو المساعدة وحتى تواصل معا زبناء 00000 .سانتقل الجوميا فود,negatif
لايريد العمل ؟؟؟؟؟؟؟؟,positif
تجربة أسطورية ولا تكرر لئي شخص يريد أي طلب 😍😍😃,positif
ماشي ماشي,positif
أسوء تطبيق في العالم في مرة حق الديليفري كان يصرخ على صاحب تاكسي,negatif
تطبيق ليرد ان يرصيد موقع المنجل في مدينة إمزورن إناني أشعر بل جوعي ات اتمنى من هذا التطبيق ان يطلب طلبي في الموقع الجغرافي لانني اريد ان اكل في هذه الرمضان الكريم احبكم جميعا والى اللقاء اريد ان اطلب طلب ارجو من التطبيق ان ياتي الموقع الجغرافي بامزون واتمنى ان يكون تطبيق نجاحا مفرحا الله يلعن ما يسوى هذا التطبيق وشكرا والى اللقاء اريد ان ابكي لانني اشعر بالجوع لانني لم افطر لا بعد لاني والتراويح وانا لازلت لم اكل الفطور تطبيق يشعر بالجوع كثيرا,negatif
ممتاز جدا جدا,positif
لم يتمكن من تحديد موقعي,negatif
سيأ جداااااا,negatif
خدمة ممتازة وسريعة,positif
ليس فيها كل المطاعم,positif
ريان,positif
اكفس خدمة لا انصح احد,negatif
بكل صراحة أول مرة أتعامل مع Glovo.كانت ما الأمور في محلها.التوقيت مضبوط.ونوع الطلب مضبوط.الموزع يحترم الوقت.شكرا GLovo,positif
رائع جدا انصح به,positif
جيد.,positif
خدمة متميزه,positif
رءع,positif
تطبيق راءع و خدمة التوصيل لا متيل لها,positif
تراجعت عن تنزيل بعد هذه الردود السلبية اكيد لم تأتي من فراغ,negatif
التطبيق خرافي شكرا بزااف توصيل سريع,positif
جميل خدمة جيدة,positif
"أسوء تجربة بحياتي كلها و اغبي تطبيق ممكن تقابلة بحياتك و عندي كل المحادثات مع خدمة العملاء ،ما شوفت أسوء من كدة .الي عاوز ضغطة يرتفع يتعامل معاهم ،تقيمي تحت الصفر كتير عليهم.اخص موظفة خدمة العملاء Abla , اقول لها ابي ارسل ورد في خلال ٢٠ دقيقة، تقولي طلبك بياخد ٧٢ ساعة ليحلوا مشكلتك و المحادثة عندي لأي شخص مهتم .",negatif
طلعتولينا فكرنا ب إعلان ديلكوم تفو,negatif
مأكولات زبالة غير صحية حذاري,positif
