Token,Type
بتحب,positive
نوال,neutre
الزغبي,neutre
فنانه,neutre
يعشقها,positive
المسرح,neutre
وما,neutre
اذكرك,neutre
اعمرها,neutre
ماعرفتوش,neutre
بونو,neutre
شرحه,neutre
ومفيد,positive
وفيه,neutre
نعرفها,neutre
تطغى,negative
الفور,neutre
للأفضل,positive
السيمانة,neutre
اتكون,neutre
غايجي,neutre
نحقق,neutre
كانتمناه,neutre
مستحيلة,neutre
لفيها,neutre
ايوا,neutre
زينه,positive
اداءه,neutre
فرصه,neutre
يحترف,neutre
لقطر,neutre
لعقبه,neutre
لكاس,neutre
لاحظت,neutre
عنصريين,negative
متعايش,neutre
اليهود,neutre
فال,neutre
اساط,neutre
البدايه,neutre
وميولاته,neutre
ويوم,neutre
تعلق,neutre
عدل,positive
اسلووبك,neutre
واحترم,positive
لحمدوو,positive
هداهم,positive
ودخلوه,neutre
كنسمع,neutre
كتبان,neutre
زوينه,positive
وضروري,neutre
عقل,neutre
مساكين,neutre
اخلاقو,neutre
واخيرا,neutre
المغاربه,neutre
وجزائريين,neutre
دايما,neutre
جايبين,neutre
كنتم,neutre
الافضل,positive
الحلووه,positive
والمره,neutre
ندعمكم,neutre
نساندكم,neutre
يازين,positive
هادا,neutre
يقدرك,neutre
فعل,neutre
يدوزها,neutre
غنعاودوها,neutre
واو,neutre
أرفع,neutre
الانتصارات,positive
مهمة,neutre
وترفع,neutre
معنويات,neutre
للنقطة,neutre
وباقي,neutre
مؤجل,neutre
ربحناه,positive
نوصلو,neutre
المركز,neutre
والمتصدر,neutre
بثلاث,neutre
نقاط,neutre
الامال,positive
قائمة,neutre
تحقيق,neutre
لقب,neutre
ولازال,neutre
التوقيع,neutre
خبر,neutre
سمعته,neutre
خصك,neutre
لاسمح,neutre
عظمة,positive
الكتف,neutre
تحركت,neutre
بلاصتها,neutre
خصها,neutre
تثبيت,neutre
ماتهملهاش,neutre
تضاعف,neutre
المميز,positive
طوييل,neutre
حسابك,neutre
غني,neutre
بالمعلومات,neutre
القيمة,positive
كنتشرف,positive
بمتابعتك,neutre
ناحية,neutre
التكاليف,neutre
المادية,neutre
وفنفس,neutre
عارفين,neutre
وبركان,neutre
الاحتمالات,neutre
واردة,neutre
التاهل,positive
الخضرا,neutre
امممممم,neutre
والتفكير,neutre
تقرر,neutre
اتوقع,neutre
الاعتذار,positive
وترك,neutre
الصائب,positive
لاشكرا,positive
للاخ,neutre
اسماعيل,neutre
بعدما,neutre
توقف,neutre
حسابو,neutre
القديم,neutre
يامغاربة,neutre
نقولك,neutre
فوزي,neutre
لقجع,neutre
الكفاءات,neutre
والانتفاضة,negative
الأخيرة,neutre
عمله,neutre
واخلاصه,negative
لايمكن,neutre
رئيسا,neutre
لنادي,neutre
الاحترافية,neutre
وهو,neutre
الملكية,neutre
تالموت,neutre
الانجازات,neutre
مستقبلك,neutre
مشرق,positive
معبرة,neutre
وحق,neutre
الكريمة,positive
والجميع,neutre
عاجبك,positive
مايحرمني,neutre
والشرف,positive
شباب,neutre
مخلصين,positive
يرفع,neutre
مقامك,neutre
مثله,neutre
ه,neutre
شاركتيني,neutre
ومتابعتك,neutre
وردك,neutre
السرور,positive
والفرح,positive
نادر,neutre
ويوفقك,positive
ويكبر,neutre
الردود,neutre
تغريداته,neutre
وربي,neutre
ويحفظك,positive
ويحفظ,positive
وتشوفه,neutre
المراتب,neutre
وتفرح,positive
يختار,neutre
ويبدع,positive
والا,neutre
نقدمها,neutre
اتم,neutre
الاستعداد,neutre
حفل,positive
تخرجي,neutre
ماليزيا,neutre
وردة,positive
ياروحي,neutre
الفخر,positive
التهنئة,positive
المنتظرة,neutre
حسنا,neutre
ماقلت,neutre
وبارك,positive
ينجينا,neutre
ويكثر,neutre
ماتوصيش,neutre
حريصة,neutre
بعقل,neutre
راجح,neutre
وشخصية,neutre
رزينة,positive
وقلب,positive
بريئ,positive
ابيض,positive
اشكرك,positive
واتمنى,neutre
ويكرمك,positive
واسع,neutre
ابوابه,neutre
التقوى,positive
الايمان,positive
بيشع,neutre
خالتي,neutre
بتخرج,neutre
شيماء,neutre
بشكلها,neutre
يبعث,neutre
وبس,neutre
الضرر,negative
والباس,negative
ويلبسها,neutre
ثوب,neutre
والقوة,neutre
غيدوز,neutre
اطلاقا,neutre
استفز,negative
الجزايريين,neutre
خوتنا,neutre
وحبايبنا,neutre
وخاوا,neutre
صلي,neutre
بخشوع,neutre
تعطلي,neutre
السجود,neutre
قولي,neutre
فخاطرك,neutre
غتبكي,negative
وغتخرج,neutre
والخنقة,negative
حاسة,neutre
لماتش,neutre
مكيمنعش,neutre
نتفائلو,positive
ونفرحو,positive
بصدارة,neutre
اووك,neutre
فيلمي,neutre
لاني,neutre
معجبة,positive
بييه,neutre
ايكثر,neutre
خيرها,positive
فالحقيقة,neutre
يرضي,positive
وجداتي,neutre
ويرحم,positive
مغليش,neutre
صبري,neutre
سرفيس,neutre
أحس,neutre
تنهي,neutre
جدال,neutre
كينفعني,neutre
الندم,negative
منكررهاش,neutre
ومنندمش,neutre
وخير,neutre
دليل,neutre
اليوفي,neutre
والباييرن,neutre
غدارة,negative
يربح,positive
وسمحو,positive
الازعاج,negative
درتهالو,neutre
وعجبات,neutre
الاصل,neutre
لوجه,neutre
طوغوموري,neutre
والذوق,neutre
والطريقة,neutre
كتعحب,neutre
الذوق,neutre
نبدلو,neutre
ابوليناس,neutre
المعنويات,neutre
خطرات,neutre
خارج,neutre
النطاق,neutre
الصديقات,neutre
بفرع,neutre
لجمعية,neutre
باطلاق,neutre
الاذاعة,neutre
الجمعوية,neutre
المولود,neutre
رسالتكم,neutre
الإعلامية,neutre
لسنا,neutre
الوحيدين,neutre
الواعرين,positive
تعازي,neutre
الحارة,positive
للصديقات,neutre
وفاة,neutre
جدتهن,neutre
سبعة,neutre
غبرتي,neutre
قدوتي,neutre
التويتات,neutre
دولك,neutre
التواضع,positive
رابح,positive
افرحك,positive
بو,neutre
ميكون,neutre
فلت,neutre
القايد,neutre
فوجتيها,positive
كيلطف,positive
وخلي,neutre
عندكصباحك,neutre
مرتفعة,neutre
كيدوز,neutre
فالرببع,neutre
كنضحكو,positive
هد,neutre
التصويرة,neutre
أبا,neutre
يعلا,neutre
احفظو,positive
يوقف,neutre
الضرافات,positive
تعلمنا,neutre
نسولو,neutre
خلاقو,neutre
واقيلا,neutre
فالتعريف,neutre
قراءة,neutre
ميكونش,neutre
التغليط,neutre
تحليل,neutre
الشفا,positive
سمحولينا,positive
بالشفا,positive
ميرسي,positive
حالك,neutre
لقد,neutre
ضربني,neutre
البرد,neutre
يتحقق,neutre
غاتشجع,neutre
الريال,neutre
سول,neutre
الرباح,neutre
ديجا,neutre
لبعضياتكم,neutre
ياسمين,neutre
فعايل,neutre
نص,neutre
گالاك,neutre
وراني,neutre
نصرت,neutre
ظالمة,negative
مظلومة,neutre
بففف,negative
نعلي,neutre
نتفاءل,positive
ازمة,neutre
يقلب,neutre
ومايستسلمش,neutre
يلقا,neutre
مانعاودوش,neutre
ماتعيرش,neutre
الهندسة,neutre
عموما,neutre
عسل,positive
اسطورة,neutre
شاد,neutre
عايش,neutre
خارجيا,neutre
داخليا,neutre
رجوع,neutre
استغفري,positive
كانشوفو,neutre
فراسنا,neutre
العيوب,negative
الاخرين,neutre
الزوين,positive
بطريقتو,neutre
كاتميزو,positive
يكملك,neutre
بعقلك,neutre
ربنا,neutre
درتو,neutre
لاكخيم,neutre
فخيش,neutre
المتواضع,positive
عطيتو,neutre
نسمعو,neutre
لفيروز,neutre
يسامح,positive
كانسى,neutre
دكتور,neutre
سمح,positive
باشما,neutre
خاصني,neutre
ذوقك,neutre
لابأس,neutre
هاداك,neutre
غيرة,neutre
فرحتلك,positive
حبيبتشي,positive
ماعرضتيني,neutre
غانبقا,neutre
نتشكا,negative
ماكنتوش,neutre
عارفينك,neutre
العلالي,neutre
مانوصيك,neutre
يداوم,neutre
مذاهب,neutre
زد,neutre
التفكير,neutre
فاسة,neutre
نورتو,neutre
ماكنتفرجش,neutre
ماكتمناو,neutre
دريويشة,neutre
النهي,neutre
كايدار,neutre
بينك,neutre
بالتي,neutre
بنصيحتك,positive
مابغاش,neutre
ضير,neutre
ماعندك,neutre
تفضحيه,negative
الاربعاء,neutre
بنكهة,neutre
تفاءلوا,positive
تجدوه,neutre
حشمتي,positive
كانحس,neutre
نهائيا,neutre
يزرقكم,positive
حاولو,neutre
تستغلو,neutre
مقلق,negative
تبداو,neutre
بيضاء,neutre
ماتمنى,neutre
موافقة,positive
ماتعاود,neutre
تقت,positive
عليكي,neutre
عايشة,neutre
تفاؤل,positive
جي,neutre
متفقة,positive
كتعجبيني,positive
العالمي,neutre
للاعجاب,positive
تسناها,neutre
سواء,neutre
الاسهل,neutre
غانستنتجو,neutre
الماط,neutre
وبي,neutre
سمحليا,positive
لگاع,neutre
كانبغي,positive
كيما,neutre
نتعامل,neutre
تعامل,neutre
كايسحابلي,neutre
نقارضتو,neutre
كاتجيبو,neutre
النذرة,neutre
كاتعطي,neutre
للحاجة,neutre
كولشي,neutre
سمحلينا,positive
ليام,neutre
نورتي,positive
الاغنية,neutre
بحبك,positive
حلوه,neutre
نفهمها,neutre
يهديك,positive
مصرة,neutre
بنتي,neutre
بالبنين,neutre
ريالية,neutre
ماقصدتش,neutre
هاكا,neutre
خلقنا,neutre
يخطي,neutre
المدام,neutre
ماكايناش,neutre
لاباج,neutre
فيسبوك,neutre
مالقيتهاش,neutre
ليميل,neutre
ميل,neutre
صباحك,neutre
يرزقو,positive
خودي,neutre
اوي,neutre
حضرتك,neutre
كانگولها,neutre
مامشا,neutre
يشافيهم,positive
ماتخلنعنيش,neutre
نقولها,neutre
جمعهم,neutre
قسم,neutre
تعطيك,neutre
ماكايعنيش,neutre
راهو,neutre
كرهنا,negative
مئوي,neutre
صايم,neutre
قلبتي,neutre
يحشم,positive
زينو,neutre
داكوغ,neutre
يالله,neutre
بوليداتكم,neutre
الجواب,neutre
وراه,neutre
ليونس,neutre
كتبتيها,neutre
كانعديو,neutre
السيئة,negative
مايعني,neutre
كايبقا,neutre
كاتكون,neutre
كلمتو,neutre
نهاري,neutre
يولي,neutre
ماكملتش,neutre
المجلة,neutre
كانقرا,neutre
التتمة,neutre
العدد,neutre
المقبل,neutre
توصي,neutre
حريص,neutre
فعمرها,neutre
عويناتك,neutre
عقت,neutre
فتي,neutre
الفرض,neutre
النوافل,neutre
يامك,neutre
آمنا,neutre
تاخدت,neutre
تفول,neutre
الهدزة,neutre
ميخسي,positive
الموت,neutre
كائن,neutre
الرواح,neutre
كايقضي,neutre
سمحو,positive
فخيتة,neutre
تستحقون,positive
وفهمونا,neutre
هاهي,neutre
التصاور,neutre
ميرس,neutre
اخجلتم,positive
تواضعي,positive
ماضحكيش,neutre
سميتو,neutre
الابداع,positive
مانخافش,positive
كادوي,neutre
مايشد,neutre
مايبقاش,neutre
يطلقك,neutre
خيرهم,positive
ماعرت,neutre
عارضة,neutre
احراج,neutre
تبدلات,neutre
حياتي,neutre
لدابا,neutre
نورك,positive
تكايسي,neutre
اينو,neutre
مازعمتش,neutre
بديت,neutre
مممم,neutre
يجعلني,neutre
نتيق,neutre
مانفيقش,neutre
درتيه,neutre
يخلينا,neutre
واليدينا,neutre
جامع,neutre
الفنا,neutre
أسيدي,positive
ياحظ,neutre
الزعل,neutre
تحبيني,positive
ماتزعلين,neutre
متولع,neutre
برضاك,positive
ورضاك,positive
كايد,neutre
اواه,neutre
تدرين,neutre
الحنين,positive
الشوق,positive
تجبر,neutre
افترى,neutre
ذكرتك,neutre
اشتعل,neutre
فيني,neutre
وأن,neutre
طواك,neutre
مانسيتك,neutre
واحشني,positive
زمانك,neutre
ياشبيه,neutre
صويحبي,neutre
حسبي,neutre
هونك,neutre
الشعر,neutre
العتيم,neutre
ونظرة,neutre
أخونك,negative
أصدق,positive
نعبر,neutre
بالكتمان,neutre
غانتخنق,negative
بالماكلة,neutre
هجومك,negative
تبرهيش,negative
ودليل,neutre
انعدام,neutre
غرام,neutre
المنطق,neutre
نقابيين,neutre
ويروينا,neutre
يديهم,neutre
بداو,neutre
يتهموا,negative
بالانخراط,neutre
مؤامرة,negative
كونية,neutre
وماتحضيش,neutre
تلاميذ,neutre
كنديرو,neutre
احتجاجات,negative
وكنا,neutre
معى,neutre
التظاهر,neutre
وعارفين,neutre
أشنو,neutre
زايغين,negative
وماعندهمش,neutre
اللازم,neutre
لخوض,neutre
نضالية,neutre
مقهور,negative
والتعليم,neutre
اللور,neutre
دانون,neutre
سونطرال,neutre
بدأت,neutre
تواصلها,neutre
بنعتهم,neutre
الخونة,negative
وأنهته,neutre
بنقص,neutre
دريال,neutre
والنشطاء,neutre
يشيدون,positive
بحكمة,neutre
مصاصو,neutre
الدماء,neutre
الاسبوع,neutre
الفائت,neutre
ديت,neutre
لمرا,neutre
لطبيبة,neutre
خمسة,neutre
دقايق,neutre
أجدادنا,neutre
حررو,positive
الاستعمار,negative
وأشباه,neutre
والمغنيين,neutre
إحرروها,positive
بالشطيح,neutre
والأغاني,neutre
الشمايت,negative
أنتم,neutre
تضحكون,positive
أنفسكم,neutre
المخزن,neutre
والتراكتور,neutre
وجهان,neutre
لعملة,neutre
سيوران,neutre
أصلا,neutre
بجوائز,neutre
الأدب,neutre
الفلسفة,neutre
يذهب,neutre
لتسلمها,neutre
مكتميزش,neutre
ضربة,neutre
جزاء,neutre
وتسلل,neutre
وتنتقد,neutre
الزمر,negative
الكبت,neutre
والجهل,negative
كينتجو,neutre
برامج,neutre
يغيب,neutre
يصبح,neutre
الكوميدي,neutre
مهرجا,negative
تعواج,neutre
الفم,neutre
فن,neutre
التخربيق,negative
مرضت,neutre
مقديتش,neutre
نتحرك,neutre
نشف,neutre
لية,neutre
لدم,neutre
فركابية,neutre
فتيحة,neutre
حرقات,neutre
راسها,neutre
وهدا,neutre
طحنوه,neutre
فالماكينة,neutre
ننسا,neutre
كانطلب,neutre
عصبني,negative
تشا,neutre
تفاصيل,neutre
الشاب,neutre
قتلوه,negative
شفقة,negative
فالحياة,neutre
والكذوب,negative
كنعيشوه,neutre
يوميا,neutre
كنشكو,neutre
ومكنتيقوش,neutre
كرهت,negative
الروتين,neutre
لقينا,neutre
يدعمنا,positive
ندعمو,positive
اسرائيل,neutre
صاف,neutre
ترجعوا,neutre
صحرا,neutre
طفرتوه,neutre
فموريتانيا,neutre
عطى,neutre
كيعجبهم,positive
الضعيفة,neutre
ومتقدرش,neutre
تعيش,neutre
يفركها,neutre
ويحكها,neutre
تهضر,neutre
كيحس,neutre
بروجولتو,neutre
مكنحملش,negative
سمحلي,positive
اعزيز,positive
ممتافقاش,negative
الاشهار,neutre
العرس,neutre
والاشهار,neutre
كيديروه,neutre
الضيوف,neutre
المعزومين,neutre
ينشر,neutre
العروسين,neutre
اذنهم,neutre
انتهاك,negative
للحرمة,neutre
مكاينة,neutre
حاطة,neutre
لمغرب,neutre
مقسوم,neutre
اثنين,neutre
وجاية,neutre
تسولي,neutre
ياخي,neutre
بركا,neutre
منتاحرش,neutre
فسعادة,positive
ودابا,neutre
كتر,neutre
البوز,neutre
الكحلة,neutre
لباك,neutre
مختفية,neutre
سيمانات,neutre
واليديها,neutre
تيقلبوا,neutre
لقاوها,neutre
ميتة,neutre
فشي,neutre
غابة,neutre
اهانة,negative
القفطان,neutre
حقيقة,neutre
التيتيزات,neutre
بهدلو,negative
عقليات,neutre
حارو,neutre
طلعت,neutre
فراس,neutre
الملل,negative
حدم,neutre
بالراحة,positive
معندكش,neutre
لحساب,neutre
غنبقى,neutre
بايرة,neutre
للابد,neutre
فولدي,neutre
حرية,positive
شخصية,neutre
هتدي,neutre
نفاق,negative
سياسي,neutre
اجتماعي,neutre
اخاطب,neutre
بشئ,neutre
واقوم,neutre
بشيئ,neutre
عكسه,neutre
قناعاتي,neutre
الخ,neutre
منحوس,negative
ياختي,neutre
ساكتين,neutre
لحريق,neutre
اعصام,neutre
حصة,neutre
البدنية,neutre
طيحة,neutre
ضهري,neutre
الكشكوشة,neutre
الاسعافات,neutre
الاولية,neutre
يرحمني,positive
مكرهتش,neutre
الظروف,neutre
تبليت,neutre
بلية,neutre
فقدت,neutre
قهرتونا,negative
بالشفاوي,neutre
الحرام,negative
التريد,neutre
صدمني,negative
غايكرن,neutre
يصبر,positive
ميمات,neutre
لبنات,neutre
تيبقى,neutre
الخامجة,negative
الاجرامية,negative
غنكون,neutre
بكامل,neutre
قواي,neutre
جاوبتك,neutre
بحد,neutre
مهول,neutre
ميحتاجش,neutre
يهولوه,neutre
قتل,neutre
بديك,neutre
جاتك,neutre
تكن,neutre
بالبت,neutre
رسالة,neutre
نشر,neutre
القتل,neutre
لوقت,neutre
يذبح,negative
برودة,neutre
اعصاب,neutre
شمن,neutre
مكيتصدقش,neutre
مال,neutre
سورة,neutre
التوبة,positive
كتقول,neutre
شد,neutre
اغتصبحا,negative
حيوان,negative
تخفي,neutre
جريمتك,negative
وقطعها,neutre
بلى,neutre
ماديري,neutre
ضرباتلي,neutre
فالزيرو,neutre
معجبونيش,negative
لكلمات,neutre
فرنسوي,neutre
تشاؤم,negative
مقروناش,neutre
لحرام,negative
لحمار,negative
كيسول,neutre
مكينجحش,negative
فلمغرب,neutre
تحماريت,negative
فهموا,neutre
منتجحش,negative
ديها,neutre
سرقو,negative
احلامنا,neutre
سواعدة,neutre
كيتشكاو,negative
ابادة,negative
سكت,neutre
اولد,neutre
صدموهم,negative
بالهدف,neutre
المعلق,neutre
بربي,neutre
كايدير,neutre
القوق,neutre
كنتسنى,neutre
وستريسي,neutre
وخايفة,negative
نطلع,neutre
هاء,neutre
فناظور,neutre
معندناش,neutre
مهضرتش,neutre
الجودة,neutre
للعكس,neutre
ذميتها,negative
لقوق,neutre
هرسو,neutre
وخربو,negative
وشعلوا,neutre
لعوافي,neutre
مابغات,neutre
كنتي,neutre
يقطع,neutre
لجد,neutre
بوك,neutre
الشقف,neutre
يلعنها,neutre
بالناقص,negative
تيكذبو,negative
يصنعو,neutre
صوارخ,neutre
مابغا,neutre
الصاروخ,neutre
خلاها,neutre
سيدهم,positive
اتركو,neutre
الكلاب,negative
تنبح,neutre
تحمقيني,positive
التعدد,neutre
ماكرهتش,neutre
نهرس,neutre
اطلع,neutre
برا,neutre
نذل,negative
انطلاق,neutre
حبك,positive
للتعنيف,negative
الاسري,neutre
خفيف,neutre
ثقال,neutre
الطنك,neutre
بلدك,neutre
متعودين,neutre
بيتك,neutre
رخاص,neutre
عديم,negative
العزة,positive
الكرامة,positive
تيطيحو,neutre
النوافد,neutre
الدعوة,neutre
لصاحبها,neutre
يخرب,negative
لمعاودة,neutre
الموصوفون,neutre
باشباه,neutre
المخنثين,negative
المكبوتين,negative
تنغبرو,neutre
تنرجعو,neutre
تنسخاوش,neutre
بالفقصة,negative
والعصبية,negative
ولفنا,neutre
نفطرو,neutre
نتعشاو,neutre
يسمعك,neutre
حررتو,positive
فلسطين,neutre
وقفت,neutre
جملة,neutre
تهزيت,neutre
افتكرت,neutre
كارثة,negative
تارخية,neutre
غفلة,neutre
المشتاق,positive
ايش,neutre
دخلك,neutre
البهايم,negative
حاشاك,positive
ختو,neutre
مو,neutre
بنتو,neutre
ماقدرش,neutre
يحكمها,neutre
وبلا,neutre
كرامة,positive
نخوة,positive
تتلقاه,neutre
معقد,negative
ويكب,neutre
نذالته,negative
ويسيى,neutre
للمغرببة,neutre
مواقع,neutre
يسوى,neutre
يسواش,neutre
عزبزي,positive
بدل,neutre
تطعن,neutre
ومثيرون,neutre
للشفقة,negative
يملكون,neutre
رفع,neutre
خرقتهم,neutre
البالية,neutre
خد,neutre
دروس,neutre
محليلينكم,neutre
السياسيبن,neutre
التفوه,neutre
بحماقات,negative
تثير,neutre
الاشمئزاز,negative
سحرت,neutre
يسحر,neutre
ساكتة,neutre
مزمرات,neutre
معصومات,neutre
لحمق,neutre
حشم,positive
رجولتك,neutre
اقتصادية,neutre
يتحدثون,neutre
يلعن,negative
تيقصف,neutre
الوقاحة,negative
موسخ,negative
وج,neutre
الميراث,neutre
ماخوها,neutre
خته,neutre
خو,neutre
راسه,neutre
منقولة,neutre
اساءة,negative
لاهله,neutre
لبلده,neutre
مبرر,neutre
لهجومه,neutre
يغلط,neutre
تنعديو,neutre
مالكوم,neutre
طالع,neutre
الدم,neutre
تيقتلني,neutre
كرشو,neutre
سبقاه,neutre
باسبوع,neutre
بحمار,negative
ضيع,neutre
حيد,neutre
لكرش,neutre
ماركي,neutre
بلاصتو,neutre
مكلخين,negative
حمى,neutre
يغبر,neutre
يعطونا,neutre
هضرنا,neutre
ردوني,neutre
داعشية,negative
تنسعى,neutre
بولقنادل,neutre
تسمعك,neutre
أمينة,neutre
النجوم,neutre
عز,positive
الظهر,neutre
أسكع,neutre
الضيم,negative
ماحاضرش,neutre
تتعاير,negative
بوها,neutre
فواحد,neutre
ينفع,neutre
بكاني,neutre
ضعفي,neutre
يبكيو,neutre
ويلعن,negative
غيخليك,neutre
تنسا,neutre
والديك,neutre
غاتندم,neutre
أقسم,neutre
غتندم,negative
ضرني,neutre
فقلبي,neutre
فراسو,neutre
يسعدو,positive
مشيتو,neutre
مرونينها,negative
الوكيل,neutre
خاسرين,negative
فجميع,neutre
عداد,neutre
مابغاوش,neutre
يتفهمو,neutre
معمرهم,neutre
غايفهموا,neutre
كتعتبر,neutre
مبغى,neutre
يسحب,neutre
السفير,neutre
كانشوفها,neutre
سبة,neutre
وجعني,negative
هاذي,neutre
ياناس,neutre
انفخت,neutre
بهذ,neutre
نشوفهم,neutre
تصدمت,negative
التبرگيگ,negative
الأمراض,neutre
الفيروسات,negative
أهل,neutre
الاختصاص,neutre
العشابة,neutre
الشوافة,neutre
اسكت,neutre
نورولك,neutre
ارشيفك,neutre
القذر,negative
علئ,neutre
فهمتش,neutre
مهنتك,neutre
اعلامي,neutre
مغربها,neutre
صحرائه,neutre
انتهى,neutre
بوزباليو,neutre
مرتزقة,negative
يرحل,neutre
تنعس,neutre
يتبعك,neutre
لبلا,neutre
تاريخو,neutre
ماهو,neutre
ماتبقاوش,neutre
اسئلة,neutre
معنى,neutre
بالطبع,neutre
واخدينها,neutre
باللسان,neutre
أخر,neutre
لانعرفه,neutre
التخلف,negative
بعينيه,neutre
مقعد,neutre
التحرك,neutre
للشعب,neutre
يقرب,neutre
الخمس,neutre
يخشاه,neutre
يرتعش,neutre
مشلول,neutre
وشعب,neutre
مذلول,negative
تحتارم,positive
حرفتك,neutre
للعظم,neutre
هربات,neutre
بالمغرب,neutre
ظلام,neutre
التعصب,negative
أخبث,negative
عارفينها,neutre
تقدموا,neutre
بخطوات,neutre
نبلوكيه,negative
مكيعرفش,neutre
يناقش,neutre
كتشدوا,neutre
كيجبد,neutre
كتحول,neutre
كيبدل,neutre
المصري,neutre
الدليل,neutre
اعتماد,neutre
الإتحاد,neutre
الأجانب,neutre
معنيديش,neutre
أكره,negative
كنتكلمو,neutre
أثمنة,neutre
خيالية,neutre
الخصوصي,neutre
هابط,neutre
الوطنية,neutre
مسواها,neutre
ممل,negative
مبغاش,neutre
يتفهم,neutre
كيضرب,neutre
يوصل,neutre
أوروبا,neutre
يبدأ,neutre
يسرق,negative
يبيع,neutre
يرجعوه,neutre
ظلموني,negative
واعينش,negative
نتعلموا,neutre
النقاش,neutre
الفكرية,neutre
كنبدا,neutre
نقرأ,neutre
التعليقات,neutre
التغريدات,neutre
نشير,neutre
بتيليفون,neutre
كنتعقد,neutre
الطامة,neutre
معندوا,neutre
هاضر,neutre
الصداع,negative
بغات,neutre
تصرف,neutre
مقبول,neutre
تعليم,neutre
وقحة,negative
مخاصوش,neutre
يتقال,neutre
طائشة,negative
قلات,neutre
العقل,neutre
مراهقة,neutre
طرق,neutre
كتمارس,neutre
القمع,negative
التحقير,negative
توضف,neutre
يفرخ,neutre
المكبوثات,neutre
الترقاع,neutre
ستظل,neutre
القاع,neutre
أصعب,neutre
حاصل,neutre
متعرف,neutre
العربون,neutre
بمشكل,neutre
الأنترنيت,neutre
الظلم,negative
كايخربقو,negative
اسمح,positive
ذو,neutre
شهادات,neutre
بدونها,neutre
الفعلة,neutre
بلوك,neutre
ركبت,neutre
تران,neutre
الروطار,neutre
ساعتين,neutre
كنتشمش,neutre
المحمدية,neutre
ضربتها,neutre
حلفت,neutre
مجلس,neutre
الكونغرس,neutre
عقوبات,negative
كتكبر,negative
هضر,neutre
بالدارجة,neutre
أغاني,neutre
كنشوفهم,neutre
شعور,neutre
سيء,negative
تكتشف,neutre
تعاملت,neutre
الأشباه,neutre
أشباه,neutre
الأحباء,positive
وثابت,neutre
الآن,neutre
التصرفات,neutre
عرف,neutre
الرجعية,neutre
لنرتقي,neutre
مزدحم,neutre
كيدوي,neutre
هذاك,neutre
مابينو,neutre
وبين,neutre
تدريب,neutre
والتلاعب,neutre
سانشيز,neutre
لوكاكو,neutre
العياقة,negative
والصداع,neutre
مايسكتوش,neutre
وجهك,neutre
كتلقى,neutre
الحضيض,negative
مطال,neutre
كتقلب,neutre
هاهو,neutre
كيلعب,neutre
فالجردة,neutre
مابقا,neutre
الوجه,neutre
تعطي,neutre
لبنادم,neutre
الماكلة,neutre
وزايدها,neutre
بالتعياب,negative
ماتمشي,neutre
إنوص,neutre
غالصداع,neutre
الحجر,neutre
إنوض,neutre
عاوتاني,neutre
عصابة,negative
أمريكا,neutre
التأمين,neutre
ارباحهم,neutre
خرافية,positive
قلنا,neutre
اسالي,neutre
الشهر,neutre
ولافضائح,negative
إنفلونزا,neutre
الخنازير,neutre
طهور,positive
جنب,neutre
ويجي,neutre
يقولك,neutre
ديمقراطية,positive
عنصرية,negative
وقتل,negative
ذل,negative
الرمضاني,neutre
وحلات,neutre
تواجد,neutre
نافاس,neutre
وكورتوا,neutre
سيعرض,neutre
لهزيمة,neutre
ساحقة,neutre
الإصابات,neutre
للريال,neutre
بنزيمة,neutre
تابعو,neutre
كيقلب,neutre
والديهم,neutre
حبا,positive
لبهم,neutre
لاحوه,neutre
الزنقة,neutre
خائف,neutre
يستقيل,neutre
منصبه,neutre
العثماني,neutre
لديه,neutre
الجرأة,neutre
لقول,neutre
هاشي,neutre
الجراءة,neutre
يهظر,neutre
ويفترك,neutre
رونو,neutre
كيخلصوا,neutre
للعاملين,neutre
وبغاو,neutre
يتحكمو,neutre
بأكملو,neutre
أهلك,neutre
شوفات,neutre
القرطاس,neutre
وسبب,neutre
الإنتفاخ,neutre
التعذيب,negative
الجسدي,neutre
كيتمارس,neutre
التقارير,neutre
العديد,neutre
الأفلام,neutre
شعوري,neutre
مشاهدة,neutre
اصفه,neutre
لحد,neutre
مكايناش,neutre
قلوبهم,neutre
فيناهما,neutre
الفوسفاط,neutre
منجم,neutre
اقا,neutre
الضرائب,neutre
ستثمرتو,neutre
إفريقيا,neutre
فينهوما,neutre
هلكتونا,negative
ضرائب,neutre
المواد,neutre
الإستهلاكية,neutre
الأدوية,neutre
البنزين,neutre
هانت,neutre
العاصفة,neutre
تعصف,negative
وبالجميع,neutre
اقت,neutre
طيبتونا,negative
باعوا,neutre
أنفسم,neutre
بحفنة,neutre
والجنس,neutre
مكتحشموس,negative
إعلام,neutre
العار,negative
تدار,neutre
نهجروه,neutre
الفقصة,negative
قاعدة,neutre
ارونار,neutre
ماشعرت,neutre
سبيتو,neutre
العاهرات,negative
الغباء,negative
دياولنا,neutre
مافاهام,neutre
وتيبغي,neutre
إشرح,neutre
باز,neutre
حاشي,neutre
صنتيحتو,neutre
مبغاتش,neutre
تتنازل,neutre
مغاديش,neutre
نتنازلوا,neutre
والأيام,neutre
بينتنا,neutre
مالنا,neutre
إيديروه,neutre
بالطريقة,neutre
البوذية,neutre
اليهودية,negative
تافهة,negative
زيدان,neutre
